original_title,genre_names,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,keyword_names
Ocean's Eleven,"Thriller, Crime",85000000,60.929352,2001-12-07,450717150,116.0,7.2,3783,"prison, pickpocket, strip club, con artist, atlantic city, cockney accent, las vegas, card dealer, explosives expert, black and white scene, male, salt lake city utah"
The Three Musketeers,"Adventure, Action, Thriller",75000000,36.605246,2011-08-31,132274484,110.0,5.6,924,"number in title, historical fiction, musketeer, 17th century, 3d"
Hotel Transylvania,"Animation, Comedy, Family, Fantasy",85000000,56.257411,2012-09-20,358375603,91.0,6.8,2566,"witch, magic, mummy, vampire, dracula, skeleton, backpacker, frankenstein, wolfman, zombie, invisible man, duringcreditsstinger,  nosferatu, protective father, fang vamp"
Enchanted,"Comedy, Family, Fantasy, Romance",85000000,29.21998,2007-11-20,340487652,107.0,6.6,1449,"poison, queen, fairy tale, musical, princess, portal, animation, fantasy world, evil witch, part animation"
Safe House,"Action, Thriller",85000000,34.773106,2012-02-09,208076205,115.0,6.3,1345,"cia, violence, safe house, rogue agent, cape town south africa, soccer stadium"
102 Dalmatians,"Comedy, Family",85000000,9.895061,2000-10-07,183611771,100.0,5.1,313,"london england, prison, release from prison, women's prison, society for the prevention of cruelty to animals, puppy, pelz, dog, dalmatian"
Tower Heist,"Action, Comedy",75000000,36.743324,2011-11-02,152930623,104.0,5.8,932,"skyscraper, thanksgiving, billionaire, parade, fbi agent, apartment, high rise, female agent, ponzi scheme, empty safe, caper comedy, planning, safecracker, recruiting, heist movie, deceit, lobby"
The Holiday,"Comedy, Romance",85000000,44.967453,2006-12-08,194168700,136.0,6.7,1225,"holiday, london england, film making, christmas party, country house, room exchange, surrey, romantic comedy, los angeles, multiple storylines, woman director, christmas"
Enemy of the State,"Action, Drama, Thriller",90000000,41.207568,1998-11-20,250649836,132.0,6.7,1240,"corruption, washington d.c., helicopter, falsely accused, identity, mexican standoff, blackmail, intelligence, wiretap, satellite, national security agency (nsa), politics, exploding building, suspense, mystery, mafia, conspiracy, lawyer, crime, privacy, surveillance, baltimore maryland, secret hideout"
It's Complicated,"Comedy, Romance",85000000,16.479851,2009-12-23,219103655,121.0,6.2,360,"graduation, ex husband, woman director"
Ocean's Thirteen,"Crime, Thriller",85000000,42.069993,2007-06-07,311312624,122.0,6.5,1999,"casino, thief, revenge, heist, las vegas, pretending to be rich, labor strike"
Open Season,"Adventure, Animation, Family",85000000,26.61951,2006-09-29,197309027,83.0,6.1,656,"hunter, mountains, garage, grizzly bear, bunny, chase, forest, deer, bear, hunt"
Divergent,"Adventure, Action, Science Fiction",85000000,80.316463,2014-03-14,288747895,139.0,6.9,4663,"based on novel, dystopia, youth, dystopic future, caste system, divergent, based on young adult novel"
Enemy at the Gates,War,68000000,41.273567,2001-03-13,96976270,131.0,7.2,999,"winter, sniper, world war ii, stalingrad"
The Rundown,"Adventure, Action, Comedy, Thriller",85000000,24.107835,2003-09-26,80916492,104.0,6.4,514,"hunter, bounty, bounty hunter, fight, amazon, treasure hunt, jungle"
Last Action Hero,"Adventure, Fantasy, Action, Comedy, Family",85000000,32.044191,1993-06-18,137298489,130.0,6.1,712,"magic, movie in movie, spoof, magical object, cartoon cat, ticket, self-referential, projectionist, child's point of view"
Memoirs of a Geisha,"Drama, History, Romance",85000000,16.595874,2005-12-06,162242962,145.0,7.3,652,"japan, prostitute, sister sister relationship, brothel, world war ii, geisha"
The Fast and the Furious: Tokyo Drift,"Action, Crime, Drama, Thriller",85000000,8.282876,2006-06-03,158468292,104.0,6.1,1705,"car race, car journey, car mechanic, auto, car garage, auto-tuning, drifting, car, automobile racing"
Arthur Christmas,"Drama, Animation, Family, Comedy",0,19.83683,2011-02-22,0,97.0,6.7,333,"holiday, santa claus, duringcreditsstinger, woman director, christmas"
Meet Joe Black,"Fantasy, Drama, Mystery",90000000,36.069611,1998-11-12,142940100,178.0,6.9,1147,"life and death, love at first sight, broken engagement, fireworks, religion and supernatural, teenage crush, fate, doctor, millionaire"
Collateral Damage,"Action, Thriller, Drama",85000000,18.827753,2002-02-06,78382433,108.0,5.5,427,"terrorist, fbi, colombia, firemen, revenge, explosion, car explosion, bomb attack"
All That Jazz,"Drama, Music",0,5.159407,1979-12-20,37823676,123.0,7.3,85,"show business, film making, tap dancing, movie in movie, divorce, tv show in film, stand-up comedian, broadway, rainstorm, surgery, dream sequence, editing, semi autobiographical, restroom, screening room, amphetamine, prescription drug abuse"
Mirror Mirror,"Adventure, Fantasy, Drama, Comedy, Science Fiction, Family",85000000,48.126297,2012-03-15,183018522,106.0,5.5,1114,"attempted murder, fairy tale, black magic, cockroach, villainess, good vs evil, woman fights man, insecurity, mirror, snow kingdom, snow white, evil queen, enchantress, gala, financial problem, pendant, half naked man, returning money, evil plot, duringcreditsstinger"
Scott Pilgrim vs. the World,"Action, Adventure, Comedy",60000000,38.885195,2010-07-27,47664559,112.0,7.2,2126,"whipping, hipster, underage girlfriend, animated flashback, character's point of view camera shot, unconsciousness, girl fight, vegan, aftercreditsstinger"
The Core,"Action, Thriller, Adventure, Science Fiction",60000000,29.211255,2003-03-28,74208267,136.0,5.4,516,"magnetic field, center of the earth, disaster film"
Nutty Professor II: The Klumps,"Fantasy, Comedy, Romance, Science Fiction",84000000,17.783361,2000-07-27,123307945,106.0,4.7,332,"alter ego, mad scientist, family, dean, duringcreditsstinger, research laboratory"
Scooby-Doo,"Mystery, Adventure, Comedy",84000000,31.435539,2002-06-14,275650703,88.0,5.4,820,"amateur detective, voodoo, resort, crime solving"
Dredd,"Action, Science Fiction",50000000,57.673932,2012-09-07,41037742,95.0,6.6,1940,"usa, corruption, crime fighter, judge, metropolis, law, post-apocalyptic, dystopia, executive case, police, futuristic, based on comic book, gore, survival, gunfight, gangster, extreme violence, psychic, violence, criminal, justice, drug lord, based on graphic novel, dystopic future, dark humor, expert marksman, rookie, dredd, 2000 ad"
Click,"Comedy, Drama, Fantasy, Romance",82500000,41.176631,2006-06-22,237681299,107.0,6.0,2104,"regret, workaholic, heart attack, architect, dying and death, time travel, remote control, children, liposuction, hospital, wedding, dog, second chance, alternate reality, fatherhood, obese"
Creepshow,"Horror, Comedy, Fantasy",8000000,13.661289,1982-11-12,21028755,120.0,6.7,226,"monster, halloween, meteor, buried alive, cockroach, anthology, based on comic book, gore, animated sequence, zombie, living dead"
Cats & Dogs 2 : The Revenge of Kitty Galore,"Comedy, Family",85000000,11.77398,2010-07-30,112483764,82.0,4.9,119,"torture, aftercreditsstinger, duringcreditsstinger, 3d"
Jumper,"Adventure, Fantasy, Science Fiction",85000000,21.218,2008-02-10,222231186,88.0,5.9,1799,"adolescence, based on novel, loss of child, fight, chase, teleportation, supernatural powers, leap in time, enemy, motherly love"
Hellboy II: The Golden Army,"Adventure, Fantasy, Science Fiction",85000000,58.57976,2008-07-11,160388063,120.0,6.5,1527,"auction, northern ireland, resignation, superhero, rebellion, violence, spear, cut arm, split screen, superhero team, arm ripped off, super villain, remorse, self exile, vanishing figure, father son conflict"
Zodiac,"Crime, Drama, Mystery, Thriller",65000000,51.970905,2007-03-02,84785914,157.0,7.3,2023,"california, san francisco, killing, journalist, newspaper, mass murder, planned murder, embassy, victim, threat to death, victim of murder, code, police, murder, serial killer, reporter"
The 6th Day,Science Fiction,82000000,18.447479,2000-11-17,96085477,123.0,5.7,595,"clone, future, murder, cloning, laser gun, dystopic future, implanted memory, sci-fi thriller"
Bruce Almighty,"Fantasy, Comedy",80000000,109.684788,2003-05-23,484572835,101.0,6.4,3012,"christianity, moon, responsability, moses, street gang, lovesickness, journalism, new love, faith, prayer, god, car crash"
The Expendables,"Thriller, Adventure, Action",80000000,77.580661,2010-08-03,274470394,103.0,6.0,2926,"tattoo, martial arts, sniper, island, mercenary, bridge, rescue, escape, church, drug, blade, ensemble cast, duringcreditsstinger"
Mission: Impossible,"Adventure, Action, Thriller",80000000,75.290998,1996-05-22,457696359,110.0,6.7,2631,"paris, london england, spy, cia, terrorist, secret identity, undercover, arms deal, headquarter, secret base, secret mission, prague, embassy, secret agent, tgv, computer, mission, based on tv series, espionage, agent"
The Hunger Games,"Science Fiction, Adventure, Fantasy",75000000,68.550698,2012-03-12,691210692,142.0,6.9,9455,"hallucination, dystopia, female protagonist, bow and arrow, knife throwing, knife fight, game, archery, blindness, glamour, roasted pig, sponsor, chariot, fictional tv show, mine explosion, based on young adult novel"
The Hangover Part II,Comedy,80000000,58.040149,2011-05-25,254455986,102.0,6.2,3739,"sun glasses, interpol, undercover cop, hangover, duringcreditsstinger"
Batman Returns,"Action, Fantasy",80000000,59.113174,1992-06-19,280000000,126.0,6.6,1673,"holiday, corruption, double life, dc comics, crime fighter, hallucination, christmas tree, gotham city, vigilante, superhero, violence, dark hero, fictional city, super villain, super powers, deformed, bird cage, evil circus, christmas holiday"
Over the Hedge,"Comedy, Animation, Family",80000000,36.32705,2006-04-22,343397247,83.0,6.3,1074,"squirrel, eating and drinking, vororte, garden, grizzly bear, entrapment, suburbian idyll, garbage, forest, turtle, hiding in a garbage container, skunk, racoon, animal"
Lilo & Stitch,"Animation, Family",80000000,55.659988,2002-06-21,145771527,85.0,7.1,1314,"sister sister relationship, extraterrestrial technology, hawaii, adoption, mutation, alien life-form, alien phenomenons, animation, dog, dead parents"
Charlotte's Web,"Comedy, Family, Fantasy",85000000,14.132583,2006-12-15,144000000,97.0,5.8,288,"hero, barn, spider, pig, egg, friendship, spring, uncle, friends, rescue, survival, talking animal, grass, family, desk, raincoat, talking pig"
Deep Impact,"Action, Drama, Romance",75000000,34.070054,1998-05-08,140464664,120.0,5.9,855,"usa president, nasa, metereologist, space mission, comet, natural disaster, tsunami, astronomer, astronaut, woman director, disaster movie"
RED 2,"Action, Comedy, Crime, Thriller",84000000,44.34333,2013-07-18,0,116.0,6.4,1526,"paris, london england, cia, russia, mi6, hired killer, exploding airplane"
The Longest Yard,"Comedy, Drama",82000000,26.065735,2005-05-19,190320568,113.0,6.2,785,"prison, american football, prisoner, blackmail, supervisor, sport"
Alvin and the Chipmunks: Chipwrecked,"Comedy, Fantasy, Family, Music, Animation",75000000,23.473004,2011-12-14,342695435,87.0,5.4,484,"sequel, chipmunk, cruise ship, overboard"
Grown Ups 2,Comedy,80000000,45.589568,2013-07-11,246984278,100.0,5.8,1155,
Get Smart,"Action, Comedy, Thriller",80000000,23.496054,2008-06-19,230685453,110.0,6.0,1051,"dancing, spy, terrorist, traitor, airplane, violin, based on tv series, legs"
Something's Gotta Give,"Drama, Comedy, Romance",80000000,16.939441,2003-12-12,266728738,128.0,6.3,410,"age difference, ladykiller, woman director"
Shutter Island,"Drama, Thriller, Mystery",80000000,81.914696,2010-02-18,294804195,138.0,7.8,6336,"based on novel, island, hurricane, investigation, psychiatric hospital, u.s. marshal, conspiracy theory, 1950s"
Four Christmases,"Comedy, Romance, Drama",80000000,19.500893,2008-11-26,163733697,88.0,5.3,331,"holiday, romantic comedy, dysfunctional family, christmas"
Robots,"Animation, Comedy, Family, Science Fiction",75000000,29.558157,2005-03-10,260696994,91.0,6.0,1333,"inventor, business man, robot, dishonesty"
Face/Off,"Action, Crime, Science Fiction, Thriller",80000000,46.075037,1997-06-27,245676146,138.0,6.8,1583,"undercover, mexican standoff, biological weapon, face transplant, rage and hate, fistfight, hostility, revenge, deception, tragedy, shootout, hospital, boat chase, los angeles, explosion, extreme violence, fbi agent, prison escape, criminal gang, flashback, golden gun, arch villain, bullet ballet"
Bedtime Stories,"Fantasy, Comedy, Family, Romance",80000000,23.531721,2008-12-24,212874442,99.0,5.9,901,"wishes come true, escapade, disorder, imaginary, miraculous event, imaginary kingdom, life turned upside down, nothing goes right"
Road to Perdition,"Thriller, Crime, Drama",80000000,49.078546,2002-07-12,181001478,117.0,7.3,1077,"based on graphic novel, homework, shot in the chin, soft boiled egg, learning to drive, spoiled son, scarred face, thompson sub machine gun, frost on a window, cauterizing a wound, liberty half dollar"
Just Go with It,"Romance, Comedy",80000000,37.02665,2011-02-10,214918407,117.0,6.3,1543,"beach, fictitious marriage, blackmail, plastic surgery, marriage, love, beautiful woman, kids and family"
Con Air,"Action, Thriller, Crime",75000000,45.154631,1997-06-01,224012234,115.0,6.5,1270,"prison, ambush, helicopter, airport, gas station, undercover, mexican standoff, bravery, hijacking, escape, shootout, u.s. marshal, las vegas, explosion, brutality, violence, convict, desert, war hero, dea agent, motorcycle chase"
Eagle Eye,"Mystery, Thriller, Action",80000000,46.887983,2008-09-25,178066569,118.0,6.3,1018,"artificial intelligence, washington d.c., secret identity, hostage, technology, fbi, pentagon, twin brother, fbi agent"
Cold Mountain,Drama,79000000,24.598479,2003-12-24,173013509,154.0,6.7,533,"loss of lover, loss of family, deserter, loss of father, love of one's life"
The Book of Eli,"Action, Thriller, Science Fiction",80000000,32.363538,2010-01-14,157107755,118.0,6.6,2164,"book, post-apocalyptic, dystopia, faith, blind"
Flubber,"Comedy, Family, Science Fiction",80000000,11.50396,1997-11-26,177977226,93.0,5.3,695,"wedding vows, inventor, slime, green, flight, mad scientist, wedding"
The Haunting,"Horror, Thriller, Fantasy, Mystery",80000000,19.375768,1999-07-23,91188905,113.0,5.2,369,"based on novel, trauma, castle, haunted house, insomnia, bone, poster, painting, remake, haunting, child labor, audio recording, spiral staircase, evil, loner, researcher, insomniac, paranormal activity, logbook,  strange noise, spook, cherub"
Space Jam,"Animation, Comedy, Drama, Family, Fantasy",80000000,36.125715,1996-11-15,250200000,88.0,6.5,1288,"sport, basketball, doctor, basketball team, basketball game, referee, basketball court, tweety bird, speedy gonzales, cartoon chicken, sylvester the cat, cartoon reality crossover, basketball hoop, cartoon skunk"
The Pink Panther,"Action, Comedy, Crime, Mystery, Family",0,25.450534,2006-01-18,0,93.0,5.6,550,"robbery, investigation, inspector, killer, clouseau, pink panther, murder hunt"
The Day the Earth Stood Still,"Drama, Science Fiction, Thriller",80000000,41.890722,2008-12-10,233093859,104.0,5.2,1043,"extraterrestrial technology, spacecraft, ultimatum, evacuation, panic, government, remake, ufo, alien, end of the world, giant robot, tank, social commentary, power outage, interrogation, environmentalism, threat, alien contact, central park, messenger, nanobots, disintegration"
Conspiracy Theory,"Action, Drama, Mystery, Thriller",75000000,22.179658,1997-08-07,136982834,135.0,6.5,431,"new york, cia, helicopter, assassin, secret, obsession, taxi driver, fbi, paranoia, wheelchair, chase, theory, politics, government, control, cover-up, murder, suspense, conspiracy, torture, flashback, target, geronimo, newsletter"
Fury,"War, Drama, Action",68000000,139.575085,2014-10-15,211817906,135.0,7.4,3946,"world war ii, nazis, war, nazi germany, panzer, tank"
Six Days Seven Nights,"Action, Adventure, Comedy, Romance",70000000,18.264635,1998-06-12,164000000,98.0,5.6,332,"overleven, family guy"
Yogi Bear,"Comedy, Family, Animation, Adventure",80000000,11.187696,2010-12-11,201584141,80.0,5.2,220,"picnic, sandwich, bear, 3d, yogi"
Spirit: Stallion of the Cimarron,"Western, Animation, Adventure, Comedy, Family",80000000,41.670544,2002-05-24,122563539,83.0,7.4,831,"human being, freedom, mustang, rivalry, wildlife, animation, cavalry, indian war, eyebrow, wild horse"
Zookeeper,"Comedy, Romance, Family",80000000,27.46264,2011-07-06,169852759,102.0,5.3,498,"talking animal, scientist, german accent, ostrich, monkey, bullfrog, car dealership, duringcreditsstinger"
Lost in Space,"Adventure, Family, Science Fiction",80000000,17.455024,1998-04-03,136159423,130.0,5.0,388,"time travel, sabotage, deep space explorer"
The Manchurian Candidate,"Drama, Thriller, Mystery",80000000,21.394281,2004-07-30,96105964,129.0,6.2,393,"senator, gulf war, canoe, kuwait, conspiracy, war hero, u.s. congress, implant"
Déjà Vu,"Romance, Drama",0,0.605645,1998-04-22,0,117.0,8.0,1,"love, american, pin, stranger, ruby"
Hotel Transylvania 2,"Animation, Comedy, Family",80000000,61.692197,2015-09-21,473226958,89.0,6.7,1497,"transylvania, hotel, witch, technology, magic, mummy, dracula, skeleton, only child, backpacker, marriage, frankenstein, wolfman, zombie, moving out, invisible man, new life"
Fantasia 2000,"Animation, Family, Music",80000000,14.530946,1999-12-17,90874570,74.0,7.0,292,"orchestra, musical segments"
The Time Machine,"Science Fiction, Adventure, Action",80000000,25.978555,2002-03-04,123729176,96.0,5.8,631,"future, time machine"
Mighty Joe Young,"Action, Adventure, Family, Fantasy",90000000,6.643778,1998-12-25,0,114.0,5.9,208,"gorilla, dying and death"
Swordfish,"Action, Crime, Thriller",102000000,36.788745,2001-06-07,147080413,99.0,6.1,932,"female nudity, hacker, terrorism, violence, ex-con, wire, los angeles international airport (lax), misdirection, aftercreditsstinger"
The Legend of Zorro,"Action, Adventure",75000000,31.054334,2005-10-24,142400065,129.0,5.9,893,"california, spy, father son relationship, mexico, hero, marriage crisis, sword fight, divorce, american civil war"
What Dreams May Come,"Drama, Fantasy, Romance",85000000,21.891078,1998-10-02,71485043,113.0,6.8,577,"paradise, soul, underworld, heaven, painting, hell, afterlife, spiritism"
Little Nicky,"Comedy, Fantasy, Romance",85000000,18.335992,2000-11-10,0,90.0,5.2,438,"father son relationship, brother sister relationship, mephisto, bulldogg"
The Brothers Grimm,"Adventure, Fantasy, Action, Comedy, Thriller",88000000,40.138009,2005-08-26,105316267,118.0,5.6,818,"brother brother relationship, literature, aftercreditsstinger"
Mars Attacks!,"Comedy, Fantasy, Science Fiction",70000000,44.090535,1996-12-12,101371017,106.0,6.1,1509,"saving the world, total destruction, white house, mars, usa president, cataclysm, lasergun, ambassador, congress, pest, flying saucer"
Évolution,"Mystery, Drama, Horror",0,3.300061,2015-09-14,0,81.0,6.4,47,"nurse, sea, beach, boy, pregnant, blood, woman director"
The Edge,"Action, Adventure, Drama",0,20.632673,1997-09-06,43312294,117.0,6.7,349,"photographer, grizzly bear, wilderness, airplane, supermodel, emergency landing, suspense, survival, bear, animal horror"
Surrogates,"Action, Science Fiction, Thriller",80000000,36.664991,2009-09-24,122444772,89.0,5.9,1195,"clone, dystopia"
Thirteen Days,"Drama, Thriller",80000000,18.26121,2000-12-24,34566746,145.0,6.9,189,"usa president, atomic bomb, john f. kennedy, kubakrise, threat"
Daylight,"Action, Adventure, Thriller",80000000,16.681269,1996-12-06,159212469,115.0,5.8,378,"taxi, new jersey, helicopter, river, hero, taxi driver, race against time, guard, survival, disaster, new york city, explosion, power outage, dog, trapped, flood, tunnel, christmas, trapped underground, action hero"
Walking With Dinosaurs,"Animation, Family, Adventure",80000000,10.088006,2013-12-18,126546518,87.0,5.2,133,"dinosaur, 3d"
Battlefield Earth,"Action, Science Fiction, War",44000000,7.89147,2000-05-10,21400000,118.0,3.0,255,"based on novel, post-apocalyptic, dystopia, mining, fighter jet, alien invasion, scientology, cavemen, bureaucrat, city ruin"
Looney Tunes: Back in Action,"Animation, Comedy, Family",80000000,16.715631,2003-11-14,68514844,90.0,5.6,297,"spy, duck, bunny, wretch, film industry, live action and animation"
Nine,"Drama, Music, Romance",80000000,9.357734,2009-12-03,53825515,112.0,5.1,165,"memory, sidewalk cafe, room key, driving a car, coastline, stairway, search for meaning, sequins, singing photograph, sliding down a pole, costume designer, duringcreditsstinger, 1960s"
Timeline,"Action, Adventure, Science Fiction",80000000,11.22268,2003-11-26,19480739,116.0,5.4,318,"professor, time travel, quantum mechanics, hundred years' war, excavation, la roque, knight, medieval times"
The Postman,"Drama, Adventure",80000000,14.564667,1997-12-25,17626234,177.0,6.1,299,"usa, post, postman, army, apocalypse"
Babe: Pig in the City,"Adventure, Comedy, Drama, Family, Fantasy",90000000,11.356079,1998-11-25,69131860,92.0,5.2,305,"piggy bank, shortage of money, pig, farm, piglet, talking animal, talking dog, dog, chimpanzee, talking pig"
The Last Witch Hunter,"Fantasy, Action, Adventure",90000000,52.612025,2015-10-21,146936910,106.0,5.7,1316,"new york, witch, uprising, witch hunter"
Red Planet,"Thriller, Action, Science Fiction",80000000,13.800656,2000-11-10,33463969,106.0,5.4,267,"mars, future, astronaut, science, catastrophe"
Arthur et les Minimoys,"Adventure, Fantasy, Animation, Family",86000000,27.097932,2006-12-13,107944236,94.0,6.0,639,"grandfather grandson relationship, wretch, treasure hunt, disappearance, family, fantasy world"
Oceans,"Documentary, Family",0,10.706613,2009-10-17,19406406,84.0,7.3,111,"ocean, sea, fish, whale, duringcreditsstinger"
A Sound of Thunder,"Thriller, Science Fiction, Adventure, Action",80000000,7.342892,2005-05-15,5989640,110.0,4.8,111,"dying and death, time travel, romance, dinosaur"
Pompeii,"Action, Adventure, History, Romance, Drama",130000000,50.561849,2014-02-18,117831631,105.0,5.2,1267,"gladiator, arena, gladiator fight, lava, roman, forbidden love, natural disaster, epic, disaster, slave, town in panic, vulcan, volcanic eruption, pompeii, 3d"
Don Gato: El inicio de la pandilla,"Comedy, Animation",8000000,0.719996,2015-10-30,0,89.0,5.3,9,3d
A Beautiful Mind,"Drama, Romance",60000000,59.248437,2001-12-11,313542341,135.0,7.7,3009,"individual, schizophrenia, massachusetts, love of one's life, intelligence, mathematician, market economy, economic theory, princeton university, nobel prize, mathematical theorem, m.i.t., mathematics, delusion"
The Lion King,"Family, Animation, Drama",45000000,90.457886,1994-06-23,788241776,89.0,8.0,5376,"loss of parents, wild boar, uncle, shaman, redemption, king, scar, hyena, meerkat"
Journey 2: The Mysterious Island,"Adventure, Action, Science Fiction",79000000,40.723459,2012-01-19,355692760,94.0,5.8,1030,"mission, mysterious island, missing person, duringcreditsstinger, 3d"
Cloudy with a Chance of Meatballs 2,"Animation, Family, Comedy",78000000,41.247402,2013-09-26,248384621,95.0,6.4,915,"inventor, food, scientist"
Red Dragon,"Crime, Thriller, Horror",78000000,10.083905,2002-09-29,209196298,124.0,6.7,1115,"psychopath, serial killer, fbi agent"
Hidalgo,"Western, Adventure",100000000,16.759252,2004-03-05,108103450,136.0,6.5,318,"horse race, horse, racehorse"
Jack and Jill,Comedy,79000000,22.132418,2011-11-11,149673788,91.0,4.1,604,duringcreditsstinger
2 Fast 2 Furious,"Action, Crime, Thriller",76000000,10.520961,2003-06-05,236350661,107.0,6.2,2028,"miami, car race, sports car, los angeles, car, automobile racing"
The Little Prince,"Adventure, Animation, Fantasy",64000000,35.384423,2015-07-29,97571250,92.0,7.6,756,"philosophy, utopia, airplane, adventure, dystopia, little boy, growing up, neighbor, mother daughter relationship, school, old man, little girl, crazy, based on children's book, story, social differences, 3d"
The Invasion,"Science Fiction, Thriller",80000000,15.673154,2007-08-17,15071514,99.0,5.7,359,"remake, alien, escape, alien invasion, alien infection, sleeping, doppelganger, news report, text messaging, siren, contamination"
The Adventures of Rocky & Bullwinkle,"Action, Adventure, Animation, Comedy, Family",76000000,8.981427,2000-06-30,35134820,88.0,3.9,87,"adventure, cartoon, comedy, breaking the fourth wall, talking to the camera, road movie, celebrity cameo"
The Secret Life of Pets,"Animation, Family",75000000,31.482872,2016-06-18,875958308,87.0,5.9,3462,"pet, bunny, anthropomorphism, dog, animal, apartment building, sewer, terrier, manhattan, new york city, rodent, mongrel"
The League of Extraordinary Gentlemen,"Fantasy, Action, Thriller, Science Fiction",78000000,47.436675,2003-07-11,179265204,110.0,5.7,1155,"saving the world, vampire, bite, men, invisible man, captain nemo, allan quatermain, venezia, immortal"
Despicable Me 2,"Animation, Comedy, Family",76000000,136.886704,2013-06-25,970761885,98.0,7.0,4637,"secret agent, bakery, falling in love, father daughter relationship, duringcreditsstinger, first date, minions, 3d"
Independence Day,"Action, Adventure, Science Fiction",75000000,60.442593,1996-06-25,816969268,145.0,6.7,3260,"spacecraft, patriotism, countdown, independence, invasion, war, ufo, extraterrestrial, spaceship, alien, battle"
The Lost World: Jurassic Park,"Adventure, Action, Science Fiction",73000000,2.502487,1997-05-23,229074524,129.0,6.2,2487,"exotic island, dna, paleontology, tyrannosaurus rex, velociraptor, san diego, dinosaur, jurassic park, animal horror"
Madagascar,"Family, Animation",75000000,48.110909,2005-05-25,532680671,86.0,6.6,3237,"lion, hippopotamus, giraffe, penguin, zebra"
Children of Men,"Drama, Action, Thriller, Science Fiction",76000000,35.387874,2006-09-22,69959751,109.0,7.4,2071,"police state, hippie, rebel, miracle, future, dystopia, chaos, aging, childlessness, faith, survival, birth, dying"
X-Men,"Adventure, Action, Science Fiction",75000000,4.66891,2000-07-13,296339527,104.0,6.8,4097,"mutant, marvel comic, superhero, based on comic book, superhuman"
Wanted,"Action, Thriller, Crime",75000000,73.82289,2008-06-19,258270008,110.0,6.4,2528,"assassin, loss of father, secret society, mission of murder, revenge"
The Rock,"Action, Adventure, Thriller",75000000,51.469576,1996-06-06,335062621,136.0,6.9,1456,"san francisco, fbi, gas attack, alcatraz, hostage situation, fbi agent"
Ice Age: The Meltdown,"Animation, Family, Comedy, Adventure",80000000,85.115058,2006-03-23,660940780,91.0,6.5,2951,"mammoth, sloth, ice age, barrier ice, ice melting, iceberg, flooding, adventure, lovers, deluge, saber-toothed tiger"
50 First Dates,"Comedy, Romance",75000000,61.437586,2004-02-13,196482882,99.0,6.6,2105,"deja vu, amnesia, hawaii, ladykiller, romantic comedy"
Hairspray,"Family, Comedy, Music, Romance",50000000,31.160542,2007-07-13,90450008,117.0,6.5,709,"races, dream, dance, television, tv show, race politics, coloured, music, equality, school party, performance, integration, overweight woman, duel, based on stage musical, xenophobia, based on film, 1960s"
Exorcist: The Beginning,"Horror, Mystery, Thriller",80000000,15.761384,2004-08-20,78000586,114.0,4.7,183,"secret, obsession, exorcism, remake, priest, good vs evil, paganism, devil, archaeologist, demonic possession, relic, crisis of faith, archaeological dig"
Inspector Gadget,"Action, Adventure, Comedy, Family",75000000,17.561955,1999-07-23,0,78.0,4.3,318,gadget
Now You See Me,"Thriller, Crime",75000000,71.124686,2013-05-29,117698894,115.0,7.3,5487,"paris, bank, secret, fbi, vault, magic, new orleans, investigation, heist, conspiracy, money, escape, new york city, las vegas, explosion"
Grown Ups,Comedy,80000000,38.864027,2010-06-24,271430189,102.0,6.0,1705,"overweight, swing, foot, convertible, arrow"
The Terminal,"Comedy, Drama",60000000,57.753914,2004-06-17,219417255,128.0,7.0,1910,"new york, airport, marriage proposal, translation, craftsman, stewardess, illegal immigration, language barrier, jfk international airport, immigration law, fast food restaurant, security camera, jazz musician, saxophonist, autograph, passport, eastern europe, friendship"
Hotel for Dogs,"Comedy, Family",35000000,13.25753,2009-01-16,73034460,100.0,5.7,202,"adoption, puppy, pitbull, orphan, foster home, animal lover, beagle, duringcreditsstinger"
Vertical Limit,"Action, Adventure, Thriller",75000000,13.318744,2000-12-08,215663859,124.0,5.9,283,"himalaya, pakistan, climbing, k2, mountaineering, karakoram"
Charlie Wilson's War,"Comedy, Drama, History",75000000,18.70031,2007-12-19,119000410,102.0,6.5,338,"washington d.c., alcohol, cia, helicopter, refugee camp, congress, cold war, ladykiller, rocket launcher, russian, munition, war in afghanistan, dollar"
Shark Tale,"Animation, Action, Comedy, Family",75000000,47.094369,2004-09-20,367275019,90.0,5.8,1557,"fish, hero, mission of murder, threat to death, secret love, animation, shark, woman director"
Dreamgirls,Drama,70000000,14.486311,2006-12-25,154937680,134.0,6.6,284,"music record, manager, black people, adultery, soul, show business, drug addiction, oscar award, musical, deceived wife, recording contract, background singer, motown, the supremes, record producer, single, singer, singing, detroit, alcoholic, extramarital affair, music band"
Be Cool,"Comedy, Crime",53000000,18.61472,2005-03-04,95226116,118.0,5.4,292,"baseball bat, widow, recording contract, recording studio, russian mafia, music business, night club, pawnshop"
Munich,"Drama, Action, History, Thriller",70000000,29.035222,2005-12-22,130358911,164.0,6.9,696,"paris, assassination, israel, hotel room, 1970s, hostage, intelligence, olympic games, munich, mossad, israeli, palestinian, beirut, ailul al aswad, plo, bomb constructor, baader-meinhof group, olympian village, revenge"
Tears of the Sun,"Action, Drama, War",70000000,27.055085,2003-03-07,85632458,121.0,6.4,573,"u.s. army, nigeria, president"
